method,regime,n_seeds,warmup_episodes,num_agents,mean_return,std_return,mean_length,mean_q_lift,mean_value_shift_term,mean_gate,mean_raw_resid_norm,mean_correction_sq
full_pearl_only,action_actuator_0.40,3,3,1,370.867139286239,0.4427967641124632,153.0,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,action_actuator_0.60,3,3,1,720.7830433209682,1.6531994602273936,256.0,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,action_bias_0.20,3,3,1,978.0907928637788,8.334222793014845,317.77777777777777,0.0,0.0,0.008162571153159897,0.0,0.0
full_pearl_only,action_noise_0.20,3,3,1,1485.2622958501818,7.771303717925026,487.5555555555556,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,body_mass_0.60,3,3,1,1426.1134992830423,0.791855306978614,500.0,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,body_mass_1.50,3,3,1,1254.611068025714,19.670271830737757,408.77777777777777,0.0,0.0,0.008162571153159897,0.0,0.0
full_pearl_only,compound_hard,3,3,1,514.8351934365625,0.7449686798503998,197.7777777777778,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,compound_mild,3,3,1,915.2829456106697,4.1621821231694085,317.3333333333333,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,env_damping_0.60,3,3,1,1462.9785267044083,2.566055965342574,500.0,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,env_damping_1.50,3,3,1,1472.2601487476934,3.9555130214365137,500.0,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,env_friction_0.60,3,3,1,864.442995509616,6.6962931793771245,297.22222222222223,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,env_friction_1.50,3,3,1,423.9429466755261,0.2414295496985906,166.44444444444446,0.0,0.0,0.008162571153159895,0.0,0.0
full_pearl_only,nominal,3,3,1,1468.3498305277653,2.3446952585005736,500.0,0.0,0.0,0.008162571153159895,0.0,0.0
q_greedy,action_actuator_0.40,3,3,1,371.3837902136781,3.9574295569619022,154.0,0.4635568269581461,-0.12693932396711952,0.9961205321696824,0.6622802051821056,0.12587934501612688
q_greedy,action_actuator_0.60,3,3,1,787.9589749682492,3.031182589886624,279.6666666666667,0.41522389553309175,-0.13988371478562944,0.8275679037018396,0.38181341422963694,0.10489702173900355
q_greedy,action_bias_0.20,3,3,1,1115.6383147067872,20.853017916890078,362.77777777777777,0.5019695053721485,-0.15370635241201216,0.9953038061877805,0.5619997180618705,0.15243460589516844
q_greedy,action_noise_0.20,3,3,1,1459.0926970045357,10.077505030325375,500.0,0.3719924011230469,-0.12391505601671006,0.9849706845729078,0.511996465664771,0.12014456920768135
