method,regime,n_seeds,warmup_episodes,num_agents,mean_return,std_return,mean_length,mean_q_lift,mean_value_shift_term,mean_gate,mean_raw_resid_norm,mean_correction_sq
finetune_full,multi_sudden_actuator,3,5,3,725.0711195927312,98.07123091732743,272.962962962963,-0.3934277602090588,0.0,1.0,0.0,0.5967848012379506
finetune_full,nominal,3,5,3,1304.1286103227458,21.470872042003023,485.1111111111111,-0.29510059016088647,0.0,1.0,0.0,0.4815047470985374
finetune_full,ood_actuator_0.60,3,5,3,1023.0244255280023,139.72424964591596,375.4444444444445,-0.434680770359327,0.0,1.0,0.0,0.5381700283232762
finetune_full,sudden_actuator_0.40,3,5,3,480.4438927435249,83.9204411054422,201.96296296296296,-0.38011200217050695,0.0,1.0,0.0,0.589854920462853
finetune_lastlayer,multi_sudden_actuator,3,5,3,800.2840898293604,27.88540211700914,295.81481481481484,0.40828525077265754,0.0,1.0,0.0,0.1593076680714725
finetune_lastlayer,nominal,3,5,3,1329.3038324456593,24.865755434461118,485.7407407407407,0.44634936067544184,0.0,1.0,0.0,0.1601808784597947
finetune_lastlayer,ood_actuator_0.60,3,5,3,797.8703498774721,7.806322654236793,283.962962962963,0.4053303509228341,0.0,1.0,0.0,0.13849088648897834
finetune_lastlayer,sudden_actuator_0.40,3,5,3,607.1562163613906,1.358827703208607,241.4074074074074,0.44070105988738567,0.0,1.0,0.0,0.24337615936544624
value_shift_qr,multi_sudden_actuator,3,5,3,671.711220114233,3.0893877079080547,253.07407407407405,0.4489595782791283,-0.07925819165421367,0.8000877571869193,0.5722425997417073,0.1296996259010513
value_shift_qr,nominal,3,5,3,1446.4289852661896,1.397717849947366,500.0,0.09936381361219616,0.035957907217520256,0.30882800388283477,0.21062212000228464,0.02159374731260021
value_shift_qr,ood_actuator_0.60,3,5,3,843.1842141219064,16.073749167884785,298.6296296296296,0.3650956061596055,-0.07680391436391032,0.8282275906322406,0.37983703218071924,0.09538514135028564
value_shift_qr,sudden_actuator_0.40,3,5,3,618.3943912489356,3.1785278333776836,237.74074074074073,0.48452487104094644,-0.3532757752116023,0.7684083858262433,0.5177368591438286,0.14066422148674898
